Hz,dBm
3.602400000E+06,-8.87500E+01
3.642200000E+06,-9.60010E+01
3.642200000E+06,-8.85394E+01
3.682000000E+06,-9.40967E+01
3.682000000E+06,-8.93329E+01
3.721800000E+06,-9.85706E+01
3.721800000E+06,-8.88965E+01
3.761600000E+06,-9.74017E+01
3.761600000E+06,-8.92657E+01
3.801400000E+06,-9.89856E+01
3.801400000E+06,-8.81366E+01
3.841200000E+06,-9.70386E+01
3.841200000E+06,-8.96136E+01
3.881000000E+06,-9.67670E+01
3.881000000E+06,-8.77917E+01
3.920800000E+06,-1.00756E+02
3.920800000E+06,-8.76117E+01
3.960600000E+06,-9.56714E+01
3.960600000E+06,-8.83777E+01
4.000400000E+06,-9.94250E+01
4.000400000E+06,-8.77612E+01
4.040200000E+06,-9.57629E+01
4.040200000E+06,-8.84601E+01
4.080000000E+06,-9.97516E+01
4.080000000E+06,-9.03888E+01
4.119800000E+06,-9.99713E+01
4.119800000E+06,-9.10083E+01
4.159600000E+06,-9.62726E+01
4.159600000E+06,-8.73340E+01
4.199400000E+06,-9.90375E+01
4.199400000E+06,-9.13043E+01
4.239200000E+06,-9.69653E+01
4.239200000E+06,-8.91437E+01
4.279000000E+06,-9.75726E+01
4.279000000E+06,-8.93085E+01
4.318800000E+06,-9.63519E+01
4.318800000E+06,-9.01385E+01
4.358600000E+06,-9.76154E+01
4.358600000E+06,-8.93054E+01
4.398400000E+06,-9.73163E+01
4.398400000E+06,-8.75507E+01
4.438200000E+06,-9.76215E+01
4.438200000E+06,-8.78253E+01
4.478000000E+06,-9.80518E+01
4.478000000E+06,-8.82220E+01
4.517800000E+06,-9.42981E+01
4.517800000E+06,-8.70990E+01
4.557600000E+06,-9.61017E+01
4.557600000E+06,-8.77185E+01
4.597400000E+06,-9.76459E+01
4.597400000E+06,-8.92841E+01
4.637200000E+06,-9.68677E+01
4.637200000E+06,-8.82983E+01
4.677000000E+06,-9.74353E+01
4.677000000E+06,-8.82922E+01
4.716800000E+06,-9.70416E+01
4.716800000E+06,-9.02393E+01
4.756600000E+06,-9.53662E+01
4.756600000E+06,-8.94244E+01
4.796400000E+06,-9.74780E+01
4.796400000E+06,-8.69128E+01
4.836200000E+06,-1.00518E+02
4.836200000E+06,-8.96564E+01
4.876000000E+06,-9.54883E+01
4.876000000E+06,-8.81915E+01
4.915800000E+06,-9.90222E+01
4.915800000E+06,-9.03278E+01
4.955600000E+06,-9.65015E+01
4.955600000E+06,-8.86829E+01
4.995400000E+06,-9.77008E+01
4.995400000E+06,-8.81824E+01
5.035200000E+06,-9.85400E+01
5.035200000E+06,-8.79779E+01
5.075000000E+06,-9.79785E+01
5.075000000E+06,-8.71082E+01
5.114800000E+06,-9.70050E+01
5.114800000E+06,-8.80359E+01
5.154600000E+06,-9.96906E+01
5.154600000E+06,-8.96167E+01
5.194400000E+06,-9.63397E+01
5.194400000E+06,-8.89789E+01
5.234200000E+06,-9.55188E+01
5.234200000E+06,-8.83716E+01
5.274000000E+06,-9.43011E+01
5.274000000E+06,-8.88171E+01
5.313800000E+06,-9.77191E+01
5.313800000E+06,-8.72028E+01
5.353600000E+06,-9.58484E+01
5.353600000E+06,-9.01508E+01
5.393400000E+06,-9.95013E+01
5.393400000E+06,-8.91345E+01
5.433200000E+06,-9.95166E+01
5.433200000E+06,-8.87714E+01
5.473000000E+06,-9.85889E+01
5.473000000E+06,-8.84021E+01
5.512800000E+06,-9.87170E+01
5.512800000E+06,-8.93512E+01
5.552600000E+06,-9.54669E+01
5.552600000E+06,-8.86890E+01
5.592400000E+06,-9.77069E+01
5.592400000E+06,-8.76941E+01
5.632200000E+06,-9.81311E+01
5.632200000E+06,-8.88873E+01
5.672000000E+06,-9.94556E+01
5.672000000E+06,-8.87927E+01
5.711800000E+06,-9.75543E+01
5.711800000E+06,-8.90063E+01
5.751600000E+06,-1.00249E+02
5.751600000E+06,-9.20947E+01
5.791400000E+06,-9.84485E+01
5.791400000E+06,-8.96350E+01
5.831200000E+06,-9.94159E+01
5.831200000E+06,-8.91345E+01
5.871000000E+06,-9.78229E+01
5.871000000E+06,-8.85150E+01
5.910800000E+06,-9.65259E+01
5.910800000E+06,-8.90582E+01
5.950600000E+06,-9.60498E+01
5.950600000E+06,-8.82251E+01
5.990400000E+06,-9.84302E+01
5.990400000E+06,-8.92291E+01
6.030200000E+06,-9.86255E+01
6.030200000E+06,-8.80450E+01
6.070000000E+06,-1.01137E+02
6.070000000E+06,-9.00226E+01
6.109800000E+06,-9.66296E+01
6.109800000E+06,-8.94061E+01
6.149600000E+06,-1.00789E+02
6.149600000E+06,-8.83044E+01
6.189400000E+06,-9.65503E+01
6.189400000E+06,-9.00043E+01
6.229200000E+06,-1.01891E+02
6.229200000E+06,-9.10144E+01
6.269000000E+06,-9.81799E+01
6.269000000E+06,-9.20093E+01
6.308800000E+06,-9.85278E+01
6.308800000E+06,-8.89972E+01
6.348600000E+06,-9.71698E+01
6.348600000E+06,-8.96198E+01
6.388400000E+06,-9.97424E+01
6.388400000E+06,-8.72058E+01
6.428200000E+06,-9.67883E+01
6.428200000E+06,-8.73737E+01
6.468000000E+06,-1.04210E+02
6.468000000E+06,-9.14142E+01
6.507800000E+06,-9.98035E+01
6.507800000E+06,-8.82404E+01
6.547600000E+06,-9.63702E+01
6.547600000E+06,-8.70624E+01
6.587400000E+06,-9.76031E+01
6.587400000E+06,-8.91833E+01
6.627200000E+06,-9.71515E+01
6.627200000E+06,-8.89392E+01
6.667000000E+06,-9.82837E+01
6.667000000E+06,-9.00409E+01
6.706800000E+06,-9.78503E+01
6.706800000E+06,-9.05933E+01
6.746600000E+06,-9.77985E+01
6.746600000E+06,-8.75751E+01
6.786400000E+06,-9.72369E+01
6.786400000E+06,-9.00867E+01
6.826200000E+06,-1.00875E+02
6.826200000E+06,-8.58539E+01
6.866000000E+06,-9.90497E+01
6.866000000E+06,-8.94977E+01
6.905800000E+06,-1.00939E+02
6.905800000E+06,-9.14447E+01
6.945600000E+06,-1.03276E+02
6.945600000E+06,-8.77551E+01
6.985400000E+06,-9.96021E+01
6.985400000E+06,-9.02026E+01
7.025200000E+06,-1.01738E+02
7.025200000E+06,-9.14722E+01
7.065000000E+06,-9.72705E+01
7.065000000E+06,-9.04254E+01
7.104800000E+06,-9.79175E+01
7.104800000E+06,-8.66595E+01
7.144600000E+06,-9.87994E+01
7.144600000E+06,-9.05200E+01
7.184400000E+06,-9.69135E+01
7.184400000E+06,-8.89880E+01
7.224200000E+06,-9.81494E+01
7.224200000E+06,-8.78375E+01
7.264000000E+06,-9.88208E+01
7.264000000E+06,-9.17163E+01
7.303800000E+06,-9.92023E+01
7.303800000E+06,-8.93176E+01
7.343600000E+06,-1.01473E+02
7.343600000E+06,-9.18201E+01
7.383400000E+06,-9.71606E+01
7.383400000E+06,-9.08313E+01
7.423200000E+06,-9.89215E+01
7.423200000E+06,-9.05505E+01
7.463000000E+06,-9.93518E+01
7.463000000E+06,-9.15637E+01
7.502800000E+06,-9.78107E+01
7.502800000E+06,-9.02667E+01
7.542600000E+06,-9.65289E+01
7.542600000E+06,-8.96625E+01
7.582400000E+06,-9.84424E+01
7.582400000E+06,-8.86249E+01
7.622200000E+06,-9.80762E+01
7.622200000E+06,-9.16309E+01
7.662000000E+06,-9.73743E+01
7.662000000E+06,-9.02209E+01
7.701800000E+06,-9.83295E+01
7.701800000E+06,-9.19604E+01
7.741600000E+06,-9.92114E+01
7.741600000E+06,-9.14813E+01
7.781400000E+06,-9.84180E+01
7.781400000E+06,-9.21130E+01
7.821200000E+06,-9.65228E+01
7.821200000E+06,-8.87317E+01
